,Sentence #,scenario,intent
2104,2104,datetime,query
2105,2105,iot,cleaning
2106,2106,iot,cleaning
2107,2107,iot,cleaning
2108,2108,iot,wemo_on
2109,2109,iot,wemo_off
2110,2110,play,music
2111,2111,play,music
2112,2112,play,music
2113,2113,play,music
2114,2114,play,music
2115,2115,play,music
2116,2116,weather,query
2117,2117,weather,query
2118,2118,datetime,query
2119,2119,datetime,query
2120,2120,iot,wemo_on
2121,2121,music,query
2122,2122,music,query
2123,2123,music,query
2124,2124,weather,query
2125,2125,weather,query
2126,2126,weather,query
2127,2127,play,music
2128,2128,play,music
2129,2129,play,music
2130,2130,iot,cleaning
2131,2131,iot,cleaning
2132,2132,iot,cleaning
2133,2133,iot,hue_lightoff
2134,2134,iot,hue_lightoff
2135,2135,iot,hue_lightoff
2136,2136,iot,hue_lightoff
2137,2137,audio,volume_up
2138,2138,audio,volume_down
2139,2139,general,joke
2140,2140,news,query
2141,2141,news,query
2142,2142,news,query
2143,2143,datetime,query
2144,2144,datetime,query
2145,2145,datetime,query
2146,2146,music,query
2147,2147,audio,volume_up
2148,2148,music,settings
2149,2149,general,greet
2150,2150,news,query
2151,2151,news,query
2152,2152,news,query
2153,2153,iot,hue_lightchange
2154,2154,iot,hue_lightchange
2155,2155,play,music
2156,2156,play,music
2157,2157,play,music
2158,2158,iot,hue_lightchange
2159,2159,iot,hue_lightchange
2160,2160,iot,hue_lightchange
2161,2161,weather,query
2162,2162,weather,query
2163,2163,weather,query
2164,2164,audio,volume_down
2165,2165,music,settings
2166,2166,music,settings
2167,2167,music,likeness
2168,2168,music,likeness
2169,2169,iot,hue_lightoff
2170,2170,iot,hue_lightoff
2171,2171,iot,hue_lightoff
2172,2172,alarm,query
2173,2173,alarm,query
2174,2174,alarm,remove
2175,2175,news,query
2176,2176,news,query
2177,2177,news,query
2178,2178,play,music
2179,2179,play,music
2180,2180,play,music
2181,2181,alarm,set
2182,2182,alarm,set
2183,2183,news,query
2184,2184,news,query
2185,2185,news,query
2186,2186,audio,volume_up
2187,2187,audio,volume_mute
2188,2188,audio,volume_other
2189,2189,iot,hue_lightchange
2190,2190,iot,hue_lighton
2191,2191,iot,hue_lightup
2192,2192,play,music
2193,2193,play,music
2194,2194,play,music
2195,2195,weather,query
2196,2196,weather,query
2197,2197,iot,hue_lightup
2198,2198,play,music
2199,2199,play,music
2200,2200,play,music
2201,2201,news,query
2202,2202,news,query
2203,2203,news,query
2204,2204,iot,cleaning
2205,2205,iot,cleaning
2206,2206,iot,cleaning
2207,2207,audio,volume_mute
2208,2208,audio,volume_mute
2209,2209,audio,volume_mute
2210,2210,takeaway,query
2211,2211,takeaway,query
2212,2212,takeaway,query
2213,2213,play,music
2214,2214,play,music
2215,2215,play,music
2216,2216,play,music
2217,2217,play,music
2218,2218,weather,query
2219,2219,weather,query
2220,2220,weather,query
2221,2221,datetime,query
2222,2222,general,greet
2223,2223,music,query
2224,2224,music,query
2225,2225,music,query
2226,2226,iot,hue_lightdim
2227,2227,iot,hue_lightdim
2228,2228,iot,hue_lightchange
2229,2229,iot,hue_lightchange
2230,2230,iot,hue_lightchange
2231,2231,audio,volume_up
2232,2232,audio,volume_down
2233,2233,datetime,query
2234,2234,datetime,query
2235,2235,iot,coffee
2236,2236,iot,coffee
2237,2237,iot,coffee
2238,2238,datetime,query
2239,2239,datetime,query
2240,2240,music,query
2241,2241,music,query
2242,2242,music,query
2243,2243,music,query
2244,2244,music,query
2245,2245,music,query
2246,2246,takeaway,query
2247,2247,takeaway,query
2248,2248,takeaway,query
2249,2249,iot,hue_lightchange
2250,2250,iot,hue_lightchange
2251,2251,iot,hue_lightchange
2252,2252,weather,query
2253,2253,weather,query
2254,2254,weather,query
2255,2255,calendar,query
2256,2256,iot,hue_lightoff
2257,2257,iot,hue_lightdim
2258,2258,audio,volume_mute
2259,2259,audio,volume_down
2260,2260,audio,volume_mute
2261,2261,weather,query
2262,2262,weather,query
2263,2263,weather,query
2264,2264,iot,hue_lightoff
2265,2265,iot,hue_lightoff
2266,2266,iot,cleaning
2267,2267,iot,cleaning
2268,2268,iot,cleaning
2269,2269,music,likeness
2270,2270,music,dislikeness
2271,2271,music,likeness
2272,2272,weather,query
2273,2273,weather,query
2274,2274,play,music
2275,2275,play,music
2276,2276,play,music
2277,2277,weather,query
2278,2278,weather,query
2279,2279,weather,query
2280,2280,news,query
2281,2281,news,query
2282,2282,news,query
2283,2283,audio,volume_other
2284,2284,audio,volume_mute
2285,2285,audio,volume_mute
2286,2286,play,music
2287,2287,play,music
2288,2288,play,music
2289,2289,iot,wemo_on
2290,2290,iot,wemo_off
2291,2291,iot,wemo_on
2292,2292,iot,hue_lightup
2293,2293,iot,hue_lighton
2294,2294,iot,hue_lightup
2295,2295,audio,volume_down
2296,2296,music,settings
2297,2297,alarm,query
2298,2298,alarm,query
2299,2299,alarm,set
2300,2300,iot,hue_lightup
2301,2301,iot,hue_lightup
2302,2302,play,music
2303,2303,play,music
2304,2304,play,music
2305,2305,takeaway,query
2306,2306,takeaway,query
2307,2307,takeaway,order
2308,2308,weather,query
2309,2309,music,query
2310,2310,music,query
2311,2311,music,query
2312,2312,takeaway,query
2313,2313,takeaway,query
2314,2314,takeaway,query
2315,2315,news,query
2316,2316,news,query
2317,2317,takeaway,order
2318,2318,takeaway,order
2319,2319,play,music
2320,2320,play,music
2321,2321,play,music
2322,2322,weather,query
2323,2323,weather,query
2324,2324,weather,query
2325,2325,music,likeness
2326,2326,play,music
2327,2327,play,music
2328,2328,play,music
2329,2329,play,music
2330,2330,play,music
2331,2331,datetime,query
2332,2332,datetime,convert
2333,2333,datetime,query
2334,2334,recommendation,events
2335,2335,news,query
2336,2336,play,music
2337,2337,play,music
2338,2338,play,music
2339,2339,iot,hue_lightchange
2340,2340,iot,hue_lightchange
2341,2341,iot,hue_lightchange
2342,2342,iot,hue_lightoff
2343,2343,iot,hue_lightchange
2344,2344,weather,query
2345,2345,weather,query
2346,2346,weather,query
2347,2347,news,query
2348,2348,news,query
2349,2349,news,query
2350,2350,iot,hue_lightchange
2351,2351,iot,hue_lightdim
2352,2352,iot,hue_lightchange
2353,2353,iot,hue_lighton
2354,2354,iot,hue_lightup
2355,2355,play,music
2356,2356,play,music
2357,2357,play,music
2358,2358,alarm,set
2359,2359,alarm,query
2360,2360,alarm,remove
2361,2361,play,music
2362,2362,play,music
2363,2363,weather,query
2364,2364,weather,query
2365,2365,news,query
2366,2366,news,query
2367,2367,news,query
2368,2368,datetime,query
2369,2369,datetime,query
2370,2370,datetime,query
2371,2371,alarm,set
2372,2372,music,query
2373,2373,music,query
2374,2374,music,query
2375,2375,play,music
2376,2376,play,music
2377,2377,play,music
2378,2378,datetime,query
2379,2379,datetime,query
2380,2380,datetime,query
2381,2381,weather,query
2382,2382,weather,query
2383,2383,weather,query
2384,2384,iot,hue_lightoff
2385,2385,iot,hue_lightoff
2386,2386,music,settings
2387,2387,music,settings
2388,2388,music,settings
2389,2389,takeaway,query
2390,2390,takeaway,query
2391,2391,takeaway,query
2392,2392,alarm,set
2393,2393,alarm,set
2394,2394,alarm,set
2395,2395,alarm,remove
2396,2396,alarm,remove
2397,2397,alarm,remove
2398,2398,news,query
2399,2399,news,query
2400,2400,general,quirky
2401,2401,music,query
2402,2402,music,query
2403,2403,music,query
2404,2404,iot,hue_lightchange
2405,2405,iot,hue_lightchange
2406,2406,iot,hue_lightdim
2407,2407,weather,query
2408,2408,weather,query
2409,2409,weather,query
2410,2410,datetime,query
2411,2411,datetime,query
2412,2412,datetime,query
2413,2413,datetime,query
2414,2414,datetime,query
2415,2415,iot,hue_lightoff
2416,2416,iot,hue_lightoff
2417,2417,iot,hue_lightoff
2418,2418,iot,wemo_off
2419,2419,iot,wemo_on
2420,2420,iot,wemo_on
2421,2421,play,music
2422,2422,play,music
2423,2423,play,music
2424,2424,alarm,set
2425,2425,alarm,set
2426,2426,alarm,set
2427,2427,general,joke
2428,2428,general,joke
2429,2429,datetime,query
2430,2430,datetime,query
2431,2431,datetime,query
2432,2432,news,query
2433,2433,news,query
2434,2434,news,query
2435,2435,general,joke
2436,2436,audio,volume_mute
2437,2437,audio,volume_mute
2438,2438,audio,volume_mute
2439,2439,general,quirky
2440,2440,news,query
2441,2441,news,query
2442,2442,news,query
2443,2443,music,settings
2444,2444,audio,volume_down
2445,2445,news,query
2446,2446,news,query
2447,2447,news,query
2448,2448,play,music
2449,2449,play,music
2450,2450,play,music
2451,2451,weather,query
2452,2452,weather,query
2453,2453,weather,query
2454,2454,weather,query
2455,2455,weather,query
2456,2456,weather,query
2457,2457,weather,query
2458,2458,play,music
2459,2459,play,music
2460,2460,play,music
2461,2461,datetime,convert
2462,2462,datetime,convert
2463,2463,datetime,convert
2464,2464,iot,hue_lightoff
2465,2465,iot,hue_lightoff
2466,2466,iot,hue_lightoff
2467,2467,iot,hue_lighton
2468,2468,iot,hue_lightup
2469,2469,news,query
2470,2470,news,query
2471,2471,news,query
2472,2472,news,query
2473,2473,news,query
2474,2474,news,query
2475,2475,weather,query
2476,2476,weather,query
2477,2477,music,likeness
2478,2478,music,likeness
2479,2479,music,query
2480,2480,iot,hue_lightoff
2481,2481,iot,hue_lightoff
2482,2482,alarm,set
2483,2483,iot,hue_lightoff
2484,2484,iot,hue_lightoff
2485,2485,weather,query
2486,2486,weather,query
2487,2487,weather,query
2488,2488,play,music
2489,2489,play,music
2490,2490,play,music
2491,2491,iot,cleaning
2492,2492,iot,cleaning
2493,2493,play,music
2494,2494,music,likeness
2495,2495,play,music
2496,2496,takeaway,query
2497,2497,takeaway,order
2498,2498,takeaway,query
2499,2499,weather,query
2500,2500,weather,query
2501,2501,weather,query
2502,2502,play,music
2503,2503,play,music
2504,2504,play,music
2505,2505,iot,hue_lightchange
2506,2506,iot,hue_lightdim
2507,2507,iot,hue_lightup
2508,2508,weather,query
2509,2509,weather,query
2510,2510,weather,query
2511,2511,takeaway,order
2512,2512,takeaway,order
2513,2513,takeaway,order
2514,2514,play,music
2515,2515,play,music
2516,2516,play,music
2517,2517,takeaway,query
2518,2518,takeaway,query
2519,2519,takeaway,query
2520,2520,alarm,set
2521,2521,alarm,set
2522,2522,alarm,set
2523,2523,play,music
2524,2524,play,music
2525,2525,play,music
2526,2526,iot,hue_lightchange
2527,2527,iot,hue_lightchange
2528,2528,iot,hue_lightchange
2529,2529,iot,coffee
2530,2530,iot,coffee
2531,2531,iot,coffee
2532,2532,audio,volume_up
2533,2533,iot,coffee
2534,2534,iot,coffee
2535,2535,iot,coffee
2536,2536,weather,query
2537,2537,weather,query
2538,2538,weather,query
2539,2539,news,query
2540,2540,news,query
2541,2541,news,query
2542,2542,iot,hue_lightoff
2543,2543,datetime,query
2544,2544,datetime,query
2545,2545,datetime,query
2546,2546,music,likeness
2547,2547,music,likeness
2548,2548,music,likeness
2549,2549,iot,coffee
2550,2550,iot,coffee
2551,2551,datetime,convert
2552,2552,datetime,convert
2553,2553,iot,hue_lightdim
2554,2554,iot,hue_lightdim
2555,2555,iot,hue_lightdim
2556,2556,general,joke
2557,2557,general,joke
2558,2558,news,query
2559,2559,news,query
2560,2560,news,query
2561,2561,iot,hue_lightdim
2562,2562,iot,hue_lightdim
2563,2563,iot,hue_lightdim
2564,2564,weather,query
2565,2565,weather,query
2566,2566,weather,query
2567,2567,audio,volume_mute
2568,2568,audio,volume_mute
2569,2569,audio,volume_mute
2570,2570,weather,query
2571,2571,weather,query
2572,2572,weather,query
2573,2573,datetime,query
2574,2574,datetime,query
2575,2575,datetime,query
2576,2576,weather,query
2577,2577,weather,query
2578,2578,alarm,set
2579,2579,alarm,set
2580,2580,alarm,set
2581,2581,takeaway,order
2582,2582,takeaway,order
2583,2583,takeaway,order
2584,2584,weather,query
2585,2585,weather,query
2586,2586,weather,query
2587,2587,audio,volume_up
2588,2588,play,music
2589,2589,music,settings
2590,2590,weather,query
2591,2591,weather,query
2592,2592,weather,query
2593,2593,music,settings
2594,2594,music,settings
2595,2595,play,music
2596,2596,iot,hue_lightchange
2597,2597,iot,hue_lightchange
2598,2598,iot,hue_lightchange
2599,2599,music,query
2600,2600,music,query
2601,2601,music,query
2602,2602,play,music
2603,2603,play,music
2604,2604,play,music
2605,2605,audio,volume_up
2606,2606,audio,volume_up
2607,2607,takeaway,order
2608,2608,takeaway,order
2609,2609,takeaway,order
2610,2610,music,query
2611,2611,music,query
2612,2612,music,query
2613,2613,news,query
2614,2614,news,query
2615,2615,news,query
2616,2616,iot,hue_lightup
2617,2617,iot,hue_lightup
2618,2618,music,query
2619,2619,music,query
2620,2620,music,query
2621,2621,play,music
2622,2622,play,music
2623,2623,play,music
2624,2624,news,query
2625,2625,news,query
2626,2626,iot,cleaning
2627,2627,iot,cleaning
2628,2628,iot,cleaning
2629,2629,news,query
2630,2630,news,query
2631,2631,news,query
2632,2632,music,query
2633,2633,music,query
2634,2634,news,query
2635,2635,news,query
2636,2636,news,query
2637,2637,play,music
2638,2638,play,music
2639,2639,play,music
2640,2640,music,query
2641,2641,music,query
2642,2642,news,query
2643,2643,news,query
2644,2644,news,query
2645,2645,play,music
2646,2646,play,music
2647,2647,play,music
2648,2648,music,likeness
2649,2649,music,likeness
2650,2650,music,likeness
2651,2651,iot,hue_lightup
2652,2652,iot,hue_lightup
2653,2653,iot,hue_lightup
2654,2654,iot,hue_lightdim
2655,2655,iot,hue_lightdim
2656,2656,music,likeness
2657,2657,music,query
2658,2658,play,music
2659,2659,datetime,query
2660,2660,datetime,query
2661,2661,datetime,query
2662,2662,datetime,query
2663,2663,datetime,query
2664,2664,datetime,query
2665,2665,takeaway,order
2666,2666,takeaway,order
2667,2667,takeaway,query
2668,2668,audio,volume_up
2669,2669,music,settings
2670,2670,music,settings
2671,2671,news,query
2672,2672,news,query
2673,2673,news,query
2674,2674,weather,query
2675,2675,weather,query
2676,2676,weather,query
2677,2677,datetime,query
2678,2678,datetime,query
2679,2679,datetime,query
2680,2680,datetime,query
2681,2681,datetime,query
2682,2682,alarm,query
2683,2683,alarm,query
2684,2684,alarm,query
2685,2685,takeaway,query
2686,2686,takeaway,query
2687,2687,takeaway,query
2688,2688,iot,cleaning
2689,2689,iot,cleaning
2690,2690,iot,cleaning
2691,2691,news,query
2692,2692,news,query
2693,2693,news,query
2694,2694,music,query
2695,2695,music,query
2696,2696,music,query
2697,2697,iot,hue_lightoff
2698,2698,iot,hue_lightoff
2699,2699,iot,coffee
2700,2700,iot,coffee
2701,2701,iot,coffee
2702,2702,takeaway,order
2703,2703,takeaway,order
2704,2704,takeaway,order
2705,2705,datetime,convert
2706,2706,datetime,convert
2707,2707,datetime,convert
2708,2708,news,query
2709,2709,news,query
2710,2710,news,query
2711,2711,music,query
2712,2712,music,query
2713,2713,datetime,query
2714,2714,datetime,query
2715,2715,iot,hue_lightchange
2716,2716,iot,hue_lightchange
2717,2717,general,joke
2718,2718,general,joke
2719,2719,qa,factoid
2720,2720,play,music
2721,2721,music,settings
2722,2722,iot,hue_lightoff
2723,2723,iot,hue_lightoff
2724,2724,news,query
2725,2725,news,query
2726,2726,news,query
2727,2727,iot,hue_lightup
2728,2728,iot,hue_lighton
2729,2729,datetime,query
2730,2730,datetime,query
2731,2731,datetime,query
2732,2732,iot,hue_lightchange
2733,2733,iot,hue_lightchange
2734,2734,iot,hue_lighton
2735,2735,play,music
2736,2736,play,music
2737,2737,play,music
2738,2738,takeaway,order
2739,2739,takeaway,order
2740,2740,takeaway,order
2741,2741,play,music
2742,2742,datetime,query
2743,2743,iot,hue_lightdim
2744,2744,iot,hue_lightdim
2745,2745,datetime,query
2746,2746,datetime,query
2747,2747,datetime,query
2748,2748,audio,volume_up
2749,2749,audio,volume_up
2750,2750,audio,volume_other
2751,2751,news,query
2752,2752,news,query
2753,2753,news,query
2754,2754,news,query
2755,2755,news,query
2756,2756,news,query
2757,2757,news,query
2758,2758,news,query
2759,2759,datetime,query
2760,2760,iot,hue_lightdim
2761,2761,iot,hue_lightoff
2762,2762,play,music
2763,2763,play,music
2764,2764,iot,wemo_off
2765,2765,iot,wemo_on
2766,2766,iot,wemo_off
2767,2767,alarm,set
2768,2768,alarm,set
2769,2769,alarm,set
2770,2770,alarm,set
2771,2771,alarm,set
2772,2772,audio,volume_mute
2773,2773,audio,volume_mute
2774,2774,audio,volume_mute
2775,2775,iot,coffee
2776,2776,iot,coffee
2777,2777,iot,coffee
2778,2778,weather,query
2779,2779,weather,query
2780,2780,weather,query
2781,2781,iot,cleaning
2782,2782,iot,cleaning
2783,2783,iot,cleaning
2784,2784,news,query
2785,2785,news,query
2786,2786,news,query
2787,2787,takeaway,order
2788,2788,takeaway,query
2789,2789,takeaway,query
2790,2790,play,music
2791,2791,play,music
2792,2792,play,music
2793,2793,play,music
2794,2794,play,music
2795,2795,play,music
2796,2796,play,music
2797,2797,play,music
2798,2798,play,music
2799,2799,play,music
2800,2800,play,music
2801,2801,play,music
2802,2802,takeaway,query
2803,2803,takeaway,query
2804,2804,takeaway,query
2805,2805,iot,hue_lightchange
2806,2806,iot,hue_lightchange
2807,2807,iot,hue_lightchange
2808,2808,weather,query
2809,2809,weather,query
2810,2810,weather,query
2811,2811,iot,hue_lighton
2812,2812,iot,hue_lighton
2813,2813,iot,hue_lightup
2814,2814,news,query
2815,2815,news,query
2816,2816,news,query
2817,2817,iot,hue_lightchange
2818,2818,iot,hue_lightchange
2819,2819,iot,hue_lightchange
2820,2820,datetime,query
2821,2821,datetime,query
2822,2822,datetime,query
2823,2823,weather,query
2824,2824,weather,query
2825,2825,weather,query
2826,2826,play,music
2827,2827,play,music
2828,2828,play,music
2829,2829,play,music
2830,2830,play,music
2831,2831,play,music
2832,2832,alarm,set
2833,2833,alarm,set
2834,2834,alarm,set
2835,2835,iot,wemo_off
2836,2836,iot,wemo_off
2837,2837,iot,wemo_off
2838,2838,iot,wemo_off
2839,2839,news,query
2840,2840,news,query
2841,2841,news,query
2842,2842,iot,hue_lightoff
2843,2843,iot,hue_lightoff
2844,2844,weather,query
2845,2845,iot,hue_lightchange
2846,2846,iot,hue_lightchange
2847,2847,iot,hue_lightchange
2848,2848,weather,query
2849,2849,weather,query
2850,2850,play,music
2851,2851,play,music
2852,2852,play,music
2853,2853,iot,hue_lightoff
2854,2854,iot,hue_lightdim
2855,2855,iot,hue_lightoff
2856,2856,iot,hue_lightoff
2857,2857,iot,hue_lightoff
2858,2858,audio,volume_mute
2859,2859,audio,volume_mute
2860,2860,audio,volume_mute
2861,2861,music,query
2862,2862,music,query
2863,2863,music,query
2864,2864,audio,volume_down
2865,2865,music,likeness
2866,2866,music,likeness
2867,2867,music,likeness
2868,2868,news,query
2869,2869,news,query
2870,2870,news,query
2871,2871,iot,hue_lightup
2872,2872,iot,hue_lightup
2873,2873,audio,volume_mute
2874,2874,news,query
2875,2875,news,query
2876,2876,news,query
2877,2877,news,query
2878,2878,news,query
2879,2879,news,query
2880,2880,iot,coffee
2881,2881,iot,coffee
2882,2882,iot,hue_lightoff
2883,2883,iot,hue_lightoff
2884,2884,iot,hue_lightoff
2885,2885,alarm,set
2886,2886,alarm,set
2887,2887,alarm,set
2888,2888,play,music
2889,2889,play,music
2890,2890,datetime,query
2891,2891,takeaway,query
2892,2892,takeaway,query
2893,2893,takeaway,query
2894,2894,weather,query
2895,2895,datetime,query
2896,2896,datetime,query
2897,2897,weather,query
2898,2898,weather,query
2899,2899,weather,query
2900,2900,news,query
2901,2901,news,query
2902,2902,news,query
2903,2903,iot,cleaning
2904,2904,iot,cleaning
2905,2905,audio,volume_mute
2906,2906,audio,volume_mute
2907,2907,audio,volume_mute
2908,2908,news,query
2909,2909,news,query
2910,2910,news,query
2911,2911,audio,volume_up
2912,2912,audio,volume_up
2913,2913,audio,volume_up
2914,2914,takeaway,order
2915,2915,takeaway,order
2916,2916,takeaway,order
2917,2917,datetime,query
2918,2918,datetime,query
2919,2919,audio,volume_down
2920,2920,audio,volume_up
2921,2921,audio,volume_mute
2922,2922,news,query
2923,2923,news,query
2924,2924,news,query
2925,2925,news,query
2926,2926,news,query
2927,2927,news,query
2928,2928,play,music
2929,2929,play,music
2930,2930,play,music
2931,2931,iot,hue_lightdim
2932,2932,iot,hue_lightup
2933,2933,music,settings
2934,2934,music,likeness
2935,2935,music,settings
2936,2936,audio,volume_up
2937,2937,weather,query
2938,2938,weather,query
2939,2939,weather,query
2940,2940,news,query
2941,2941,news,query
2942,2942,news,query
2943,2943,weather,query
2944,2944,weather,query
2945,2945,weather,query
2946,2946,play,music
2947,2947,play,music
2948,2948,play,music
2949,2949,play,music
2950,2950,music,likeness
2951,2951,music,likeness
2952,2952,iot,hue_lightoff
2953,2953,iot,hue_lightoff
2954,2954,play,music
2955,2955,play,music
2956,2956,news,query
2957,2957,news,query
2958,2958,news,query
2959,2959,news,query
2960,2960,news,query
2961,2961,news,query
2962,2962,alarm,query
2963,2963,alarm,query
2964,2964,alarm,query
2965,2965,news,query
2966,2966,play,music
2967,2967,play,music
2968,2968,datetime,query
2969,2969,datetime,query
2970,2970,weather,query
2971,2971,weather,query
2972,2972,weather,query
2973,2973,play,music
2974,2974,play,music
2975,2975,play,music
2976,2976,takeaway,query
2977,2977,takeaway,query
2978,2978,takeaway,query
2979,2979,general,joke
2980,2980,general,joke
2981,2981,general,joke
2982,2982,takeaway,order
2983,2983,general,quirky
2984,2984,takeaway,order
2985,2985,iot,wemo_off
2986,2986,iot,wemo_off
2987,2987,iot,wemo_off
2988,2988,iot,coffee
2989,2989,iot,coffee
2990,2990,iot,coffee
2991,2991,takeaway,order
2992,2992,takeaway,order
2993,2993,takeaway,order
2994,2994,play,music
2995,2995,play,music
2996,2996,play,music
2997,2997,play,music
2998,2998,play,music
2999,2999,play,music
3000,3000,audio,volume_down
3001,3001,audio,volume_down
3002,3002,audio,volume_up
3003,3003,play,music
3004,3004,play,music
3005,3005,play,music
3006,3006,iot,hue_lightoff
3007,3007,iot,hue_lightoff
3008,3008,iot,hue_lightchange
3009,3009,iot,hue_lightchange
3010,3010,iot,hue_lightchange
3011,3011,play,music
3012,3012,play,music
3013,3013,play,music
3014,3014,alarm,set
3015,3015,alarm,set
3016,3016,alarm,set
3017,3017,general,joke
3018,3018,general,joke
3019,3019,music,query
3020,3020,music,query
3021,3021,news,query
3022,3022,news,query
3023,3023,news,query
3024,3024,iot,wemo_off
3025,3025,iot,wemo_off
3026,3026,general,joke
3027,3027,general,joke
3028,3028,iot,coffee
3029,3029,iot,coffee
3030,3030,iot,coffee
3031,3031,iot,coffee
3032,3032,weather,query
3033,3033,weather,query
3034,3034,music,likeness
3035,3035,music,likeness
3036,3036,general,quirky
3037,3037,takeaway,query
3038,3038,takeaway,query
3039,3039,takeaway,query
3040,3040,news,query
3041,3041,news,query
3042,3042,news,query
3043,3043,iot,hue_lightchange
3044,3044,iot,hue_lightchange
3045,3045,iot,hue_lightchange
3046,3046,iot,coffee
3047,3047,iot,coffee
3048,3048,iot,coffee
3049,3049,iot,coffee
3050,3050,iot,coffee
3051,3051,iot,coffee
3052,3052,news,query
3053,3053,news,query
3054,3054,news,query
3055,3055,news,query
3056,3056,news,query
3057,3057,news,query
3058,3058,play,music
3059,3059,play,music
3060,3060,play,music
3061,3061,datetime,query
3062,3062,takeaway,order
3063,3063,takeaway,order
3064,3064,takeaway,order
3065,3065,play,music
3066,3066,play,music
3067,3067,play,music
3068,3068,takeaway,query
3069,3069,takeaway,query
3070,3070,takeaway,query
3071,3071,iot,hue_lightoff
3072,3072,iot,hue_lightoff
3073,3073,iot,hue_lightoff
3074,3074,weather,query
3075,3075,weather,query
3076,3076,play,music
3077,3077,music,likeness
3078,3078,play,music
3079,3079,datetime,query
3080,3080,datetime,query
3081,3081,datetime,query
3082,3082,play,music
3083,3083,iot,cleaning
3084,3084,general,quirky
3085,3085,play,music
3086,3086,play,music
3087,3087,play,music
3088,3088,news,query
3089,3089,weather,query
3090,3090,calendar,query
3091,3091,play,music
3092,3092,play,music
3093,3093,play,music
3094,3094,audio,volume_mute
3095,3095,audio,volume_mute
3096,3096,audio,volume_mute
3097,3097,play,music
3098,3098,play,music
3099,3099,play,music
3100,3100,datetime,query
3101,3101,datetime,query
3102,3102,datetime,query
3103,3103,iot,hue_lightdim
3104,3104,iot,hue_lightdim
3105,3105,iot,hue_lightdim
3106,3106,iot,coffee
3107,3107,iot,coffee
3108,3108,iot,coffee
3109,3109,iot,hue_lightup
3110,3110,iot,hue_lightup
3111,3111,iot,hue_lightup
3112,3112,iot,coffee
3113,3113,iot,coffee
3114,3114,iot,coffee
3115,3115,iot,hue_lightchange
3116,3116,iot,hue_lightchange
3117,3117,iot,hue_lighton
3118,3118,music,dislikeness
3119,3119,music,dislikeness
3120,3120,iot,hue_lightchange
3121,3121,iot,hue_lightchange
3122,3122,iot,hue_lightchange
3123,3123,datetime,query
3124,3124,datetime,query
3125,3125,datetime,query
3126,3126,alarm,query
3127,3127,audio,volume_mute
3128,3128,audio,volume_mute
3129,3129,audio,volume_mute
3130,3130,iot,coffee
3131,3131,iot,coffee
3132,3132,iot,coffee
3133,3133,iot,hue_lightoff
3134,3134,iot,cleaning
3135,3135,iot,cleaning
3136,3136,iot,cleaning
3137,3137,datetime,query
3138,3138,iot,hue_lightup
3139,3139,iot,hue_lightup
3140,3140,iot,hue_lightchange
3141,3141,datetime,query
3142,3142,datetime,query
3143,3143,datetime,query
3144,3144,iot,hue_lightchange
3145,3145,iot,hue_lightchange
3146,3146,iot,hue_lightchange
3147,3147,takeaway,query
3148,3148,takeaway,query
3149,3149,takeaway,query
3150,3150,music,query
3151,3151,music,query
3152,3152,music,query
3153,3153,takeaway,query
3154,3154,takeaway,query
3155,3155,takeaway,query
3156,3156,audio,volume_mute
3157,3157,audio,volume_mute
3158,3158,audio,volume_mute
3159,3159,weather,query
3160,3160,weather,query
3161,3161,weather,query
3162,3162,datetime,query
3163,3163,datetime,query
3164,3164,datetime,query
3165,3165,iot,hue_lightchange
3166,3166,iot,hue_lightchange
3167,3167,takeaway,query
3168,3168,takeaway,query
3169,3169,takeaway,query
3170,3170,iot,coffee
3171,3171,iot,coffee
3172,3172,iot,coffee
3173,3173,alarm,query
3174,3174,alarm,query
3175,3175,alarm,query
3176,3176,alarm,query
3177,3177,play,music
3178,3178,play,music
3179,3179,general,joke
3180,3180,alarm,remove
3181,3181,alarm,remove
3182,3182,alarm,remove
3183,3183,audio,volume_up
3184,3184,music,settings
3185,3185,music,settings
3186,3186,iot,hue_lightoff
3187,3187,iot,hue_lightoff
3188,3188,iot,hue_lightoff
3189,3189,news,query
3190,3190,news,query
3191,3191,news,query
3192,3192,weather,query
3193,3193,weather,query
3194,3194,weather,query
3195,3195,datetime,query
3196,3196,datetime,query
3197,3197,play,music
3198,3198,play,music
3199,3199,play,music
3200,3200,audio,volume_down
3201,3201,audio,volume_down
3202,3202,audio,volume_down
3203,3203,iot,wemo_on
3204,3204,iot,hue_lightoff
3205,3205,news,query
3206,3206,news,query
3207,3207,news,query
3208,3208,takeaway,order
3209,3209,takeaway,order
3210,3210,takeaway,order
3211,3211,iot,cleaning
3212,3212,iot,cleaning
3213,3213,iot,cleaning
3214,3214,iot,hue_lightup
3215,3215,iot,hue_lighton
3216,3216,iot,hue_lightchange
3217,3217,takeaway,query
3218,3218,takeaway,query
3219,3219,takeaway,query
3220,3220,play,music
3221,3221,play,music
3222,3222,play,music
3223,3223,datetime,query
3224,3224,datetime,query
3225,3225,audio,volume_down
3226,3226,weather,query
3227,3227,weather,query
3228,3228,weather,query
3229,3229,news,query
3230,3230,news,query
3231,3231,news,query
3232,3232,news,query
3233,3233,takeaway,order
3234,3234,takeaway,order
3235,3235,takeaway,order
3236,3236,datetime,query
3237,3237,datetime,query
3238,3238,datetime,query
